Player,Role,Specific_Role,Nationality,Bowling_Style,Auction_Price,Power_Index,Batting_SR,Batting_Avg,Bw_WPM,Bowling_Econ
MP Yadav,Bowler,,,,1.5,9.92,0.0,0.0,1.5,8.232558139534884
Harsh Dubey,Bowler,,,,1.5,9.75,0.0,0.0,1.6666666666666667,9.540983606557377
N Burger,Bowler,,,,1.4,9.65,0.0,0.0,1.4,7.885714285714286
Naveen-ul-Haq,Bowler,,,,1.4,9.59,69.23076923076923,18.0,1.4705882352941178,8.417690417690418
W O'Rourke,Bowler,,,,1.4,9.47,0.0,0.0,2.0,12.09375
Noor Ahmad,Bowler,,,,1.4,9.46,57.14285714285714,2.857142857142857,1.2972972972972974,7.422007255139057
Mustafizur Rahman,Bowler,,,,1.3,8.98,50.0,1.0,1.3571428571428572,8.378378378378379
PP Chawla,Bowler,,,,1.3,8.85,108.10810810810811,8.0,1.2962962962962963,8.119453924914676
Akash Madhwal,Bowler,,,,1.3,8.79,57.14285714285714,8.0,1.411764705882353,8.96808510638298
Ashwani Kumar,Bowler,,,,1.3,8.7,0.0,0.0,1.5714285714285714,10.136363636363637
TA Boult,Bowler,,,,1.3,8.69,86.48648648648648,16.0,1.2439024390243902,7.9589189189189185
Mohammed Shami,Bowler,,,,1.3,8.65,78.94736842105263,5.0,1.3076923076923077,8.430508474576271
Mohammed Siraj,Bowler,,,,1.3,8.62,100.0,8.0,1.1627906976744187,7.497131931166348
YS Chahal,Bowler,,,,1.3,8.57,0.0,0.0,1.3095238095238095,8.53678756476684
Arshdeep Singh,Bowler,,,,1.3,8.47,66.66666666666666,4.0,1.2954545454545454,8.56047197640118
NT Ellis,Bowler,,,,1.3,8.36,14.285714285714285,0.5,1.25,8.382978723404255
RP Meredith,Bowler,,,,1.2,8.32,0.0,0.0,1.4,9.428571428571429
R Sai Kishore,Bowler,,,,1.2,8.3,112.5,6.0,1.3,8.788732394366198
VG Arora,Bowler,,,,1.2,8.28,36.36363636363637,4.0,1.2222222222222223,8.296551724137931
WD Parnell,Bowler,,,,1.2,8.22,33.33333333333333,2.0,1.2857142857142858,8.789808917197451
TU Deshpande,Bowler,,,,1.2,8.02,58.333333333333336,7.0,1.205128205128205,8.480898876404495
N Thushara,Bowler,,,,1.2,8.0,0.0,0.0,1.125,7.96969696969697
MM Sharma,Bowler,,,,1.2,7.95,15.0,3.0,1.2727272727272727,9.01775147928994
DS Rathi,Bowler,,,,1.2,7.9,25.0,1.0,1.0769230769230769,7.775700934579438
MA Starc,Bowler,,,,1.2,7.85,68.18181818181817,3.75,1.2916666666666667,9.2578125
KR Sen,Bowler,,,,1.2,7.81,0.0,0.0,1.2,8.693877551020408
JP Behrendorff,Bowler,,,,1.2,7.75,66.66666666666666,6.0,1.1666666666666667,8.541984732824428
A Zampa,Bowler,,,,1.2,7.74,58.82352941176471,10.0,1.25,9.114754098360656
KA Jamieson,Bowler,,,,1.2,7.73,0.0,0.0,1.25,9.127659574468085
V Puthur,Bowler,,,,1.1,7.66,0.0,0.0,1.2,8.876712328767123
M Markande,Bowler,,,,1.1,7.58,150.0,21.0,1.1764705882352942,8.806451612903226
KK Ahmed,Bowler,,,,1.1,7.42,50.0,1.0,1.1081081081081081,8.535108958837773
A Mishra,Bowler,,,,1.1,7.32,63.33333333333333,19.0,1.0,7.937007874015748
T Natarajan,Bowler,,,,1.1,7.23,0.0,0.0,1.0714285714285714,8.511848341232227
Yash Thakur,Bowler,,,,1.1,7.22,0.0,0.0,1.1904761904761905,9.322105263157894
Sandeep Sharma,Bowler,,,,1.1,7.17,61.53846153846154,8.0,1.0,8.10663198959688
DJ Willey,Bowler,,,,1.1,7.17,109.375,35.0,0.75,6.446808510638299
I Sharma,Bowler,,,,1.0,6.95,22.22222222222222,2.0,1.0,8.368421052631579
Mukesh Kumar,Bowler,,,,1.0,6.92,50.0,10.0,1.15625,9.44888888888889
J Little,Bowler,,,,1.0,6.91,0.0,0.0,1.0,8.415254237288135
S Sandeep Warrier,Bowler,,,,1.0,6.82,0.0,0.0,1.2,9.857142857142858
Avesh Khan,Bowler,,,,1.0,6.79,155.0,31.0,1.1081081081081081,9.279411764705882
LH Ferguson,Bowler,,,,1.0,6.78,250.0,5.0,1.1428571428571428,9.516483516483516
KV Sharma,Bowler,,,,1.0,6.7,159.0909090909091,8.75,1.1428571428571428,9.612903225806452
G Coetzee,Bowler,,,,1.0,6.69,93.93939393939394,5.166666666666667,1.0714285714285714,9.143835616438356
DL Chahar,Bowler,,,,1.0,6.69,140.74074074074073,38.0,0.90625,8.048076923076923
Vijaykumar Vyshak,Bowler,,,,1.0,6.55,107.6923076923077,7.0,1.0625,9.252808988764045
A Kamboj,Bowler,,,,1.0,6.41,106.66666666666667,8.0,0.9090909090909091,8.393939393939394
M Theekshana,Bowler,,,,0.9,6.33,37.03703703703704,5.0,0.8275862068965517,7.947826086956521
JD Unadkat,Bowler,,,,0.9,6.32,97.05882352941177,11.0,0.9047619047619048,8.472361809045227
Akash Singh,Bowler,,,,0.9,6.19,0.0,0.0,1.0,9.26086956521739
K Rabada,Bowler,,,,0.9,6.16,103.57142857142858,14.5,0.9523809523809523,8.969818913480886
Yash Dayal,Bowler,,,,0.9,5.9,50.0,2.0,0.8823529411764706,8.811188811188812
